iter	Passed	Remaining
624	451766	1716712
625	452476	1715940
626	453200	1715224
627	453897	1714404
628	454623	1713693
629	455329	1712907
630	456048	1712171
631	456757	1711393
632	457467	1710624
633	458193	1709915
634	458928	1709238
635	459622	1708409
636	460350	1707705
637	461046	1706883
638	461749	1706087
639	462464	1705337
640	463160	1704518
641	463876	1703770
642	464604	1703068
643	465303	1702259
644	466033	1701564
645	466763	1700869
646	467504	1700212
647	468230	1699504
648	468926	1698682
649	469647	1697956
650	470350	1697163
651	471058	1696389
652	471776	1695648
653	472515	1694985
654	473231	1694241
655	473926	1693421
656	474656	1692723
657	475367	1691960
658	476096	1691262
659	476816	1690530
660	477544	1689829
661	478254	1689060
662	479011	1688459
663	479724	1687704
664	480454	1687008
665	481190	1686335
666	481892	1685538
667	482622	1684844
668	483336	1684090
669	484064	1683389
670	484757	1682564
671	485493	1681888
672	486220	1681179
673	486929	1680411
674	487658	1679712
675	488380	1678987
676	489105	1678275
677	489821	1677531
678	490566	1676885
679	491287	1676157
680	492006	1675424
681	492707	1674628
682	493501	1674147
683	494223	1673421
684	494936	1672667
685	495668	1671978
686	496391	1671258
687	497122	1670563
688	497830	1669792
689	498542	1669034
690	499268	1668323
691	499992	1667603
692	500699	1666832
693	501405	1666054
694	502144	1665385
695	502865	1664658
696	503586	1663929
697	504298	1663173
698	505027	1662472
699	505719	1661648
700	506453	1660966
701	507176	1660243
702	507891	1659497
703	508598	1658724
704	509313	1657979
705	510017	1657196
706	510735	1656458
707	511481	1655812
708	512183	1655025
709	512908	1654311
710	513603	1653499
711	514318	1652753
712	515043	1652039
713	515741	1651239
714	516478	1650565
715	517181	1649779
716	517905	1649063
717	518631	1648352
718	519347	1647610
719	520065	1646874
720	520795	1646176
721	521521	1645466
722	522243	1644743
723	522973	1644042
724	523702	1643343
725	524441	1642673
726	525156	1641925
727	525863	1641157
728	526592	1640456
729	527307	1639710
730	528053	1639060
731	528754	1638273
732	529469	1637528
